Implementation,Threads,MessageSize,Throughput_Gbps,Latency_us,ContextSwitches,L1_Misses,LLC_Misses,Cycles
client_2copy,1,64,.8943,0,42,464159,0,16712813
client_2copy,1,4096,10.5320,2,26,162247,0,4006116
client_2copy,1,32768,50.4723,4,42,346290,0,11139647
client_2copy,1,1048576,91.4492,90,41,130902674,0,13735355498
client_2copy,2,64,1.7165,0,72,893143,0,53858744
client_2copy,2,4096,24.9163,1,68,44859,0,5888052
client_2copy,2,32768,106.9936,4,107,91243,1,45166912
client_2copy,2,1048576,167.2545,94,248,93083,0,22077732
client_2copy,4,64,3.4703,0,128,417110611,495,26755086888
client_2copy,4,4096,46.2210,2,345,2148415904,0,42847188132
client_2copy,4,32768,163.9057,5,3990,1047594879,706,29508854136
client_2copy,4,1048576,255.0422,126,149647,177074077,11227,30777226900
client_2copy,8,64,5.3271,0,495,3769779934,0,216647551284
client_2copy,8,4096,77.4845,2,3452,11596854847,0,236869506724
client_2copy,8,32768,243.9069,7,30317,6946231208,2,229473613674
client_2copy,8,1048576,262.4040,239,846156,1422510576,48100,228234965457
client_1copy,1,64,.6272,0,26,99217,0,3650854
client_1copy,1,4096,10.4281,2,46,105385751,0,1726446268
client_1copy,1,32768,60.3858,3,26,1291151,0,28037287
client_1copy,1,1048576,121.6062,68,46,69212,0,15536003
client_1copy,2,64,1.2278,0,50,511353,0,19661843
client_1copy,2,4096,22.6524,2,63,2441889,0,51939992
client_1copy,2,32768,116.4192,3,222,1086636730,3670,39380096262
client_1copy,2,1048576,223.8927,73,4266,92298866,3882,13617546733
client_1copy,4,64,2.2367,0,117,1856609568,0,69236059432
client_1copy,4,4096,38.2613,2,232,2368528589,184,41730482891
client_1copy,4,32768,207.6956,4,2204,441634658,0,15371499496
client_1copy,4,1048576,390.7765,82,152222,470559298,4500,38297988997
client_1copy,8,64,3.8097,0,516,5273059163,0,215732134966
client_1copy,8,4096,60.9871,3,2661,9591996261,2,188265213774
client_1copy,8,32768,264.9615,7,26440,8520009818,16,236630362086
client_1copy,8,1048576,413.4426,161,858136,2347387927,1489,240292082200
client_0copy,1,64,.5186,0,570,2893940,0,80003126
client_0copy,1,4096,10.5096,2,59,5948286,0,81114843
client_0copy,1,32768,45.1734,5,10996,72395,0,3830953
client_0copy,1,1048576,90.9182,91,37,258666,0,63804685
client_0copy,2,64,1.0370,0,981,1946347341,0,54449917078
client_0copy,2,4096,20.3827,2,123,8730214,0,103893140
client_0copy,2,32768,97.2705,4,4225,32864008,0,7567797481
client_0copy,2,1048576,179.6395,91,6816,1168689165,0,74073160018
client_0copy,4,64,1.9600,0,3045,4337483835,3331,120629012472
client_0copy,4,4096,37.1014,2,303,7637761383,5597,99037307905
client_0copy,4,32768,154.9462,6,9603,1909636075,0,56360703087
client_0copy,4,1048576,295.5566,108,148002,2209144591,3678,124743371522
client_0copy,8,64,2.9051,0,8236,9214001631,0,262839950332
client_0copy,8,4096,54.4753,3,3157,19136627156,17,265243312838
client_0copy,8,32768,212.2517,9,91949,4662695200,198,140179409432
client_0copy,8,1048576,240.8478,254,1073739,1429400275,49499,99309830482
